respondent_id,xyz_vaccine,seasonal_vaccine
31137,0.14,0.19
31138,0.5,0.74
31139,0.27,0.45
31140,0.09,0.06
31141,0.31,0.74
31142,0.77,0.94
31143,0.26,0.67
31144,0.07,0.73
31145,0.42,0.55
31146,0.08,0.07
31147,0.24,0.48
31148,0.13,0.61
31149,0.08,0.25
31150,0.08,0.44
31151,0.01,0.08
31152,0.04,0.43
31153,0.06,0.15
31154,0.16,0.13
31155,0.74,0.9
31156,0.09,0.22
31157,0.23,0.73
31158,0.8,0.94
31159,0.03,0.14
31160,0.01,0.36
31161,0.32,0.48
31162,0.42,0.74
31163,0.32,0.41
31164,0.15,0.44
31165,0.24,0.26
31166,0.07,0.3
31167,0.03,0.14
31168,0.18,0.59
31169,0.04,0.32
31170,0.12,0.18
31171,0.12,0.25
31172,0.66,0.9
31173,0.26,0.59
31174,0.31,0.26
31175,0.16,0.28
31176,0.41,0.41
31177,0.07,0.89
31178,0.36,0.81
31179,0.45,0.72
31180,0.14,0.55
31181,0.43,0.57
31182,0.13,0.37
31183,0.3,0.32
31184,0.01,0.03
31185,0.11,0.23
31186,0.41,0.53
31187,0.04,0.18
31188,0.21,0.2
31189,0.09,0.36
31190,0.15,0.3
31191,0.29,0.41
31192,0.09,0.17
31193,0.06,0.26
31194,0.08,0.28
31195,0.39,0.24
31196,0.41,0.79
31197,0.03,0.34
31198,0.1,0.14
31199,0.1,0.33
31200,0.13,0.48
31201,0.14,0.06
31202,0.51,0.89
31203,0.03,0.03
31204,0.04,0.09
31205,0.01,0.97
31206,0.17,0.32
31207,0.13,0.24
31208,0.42,0.87
31209,0.23,0.4
31210,0.23,0.55
31211,0.01,0.13
31212,0.13,0.41
31213,0.1,0.19
31214,0.2,0.28
31215,0.09,0.74
31216,0.04,0.05
31217,0.2,0.66
31218,0.61,0.92
31219,0.53,0.75
31220,0.1,0.32
31221,0.24,0.5
31222,0.35,0.6
31223,0.26,0.39
31224,0.06,0.59
31225,0.09,0.09
31226,0.49,0.91
31227,0.07,0.13
31228,0.54,0.54
31229,0.49,0.76
31230,0.04,0.3
31231,0.01,0.07
31232,0.15,0.7
31233,0.46,0.59
31234,0.61,0.86
31235,0.27,0.41
31236,0.23,0.86
31237,0.1,0.39
31238,0.33,0.87
31239,0.63,0.81
31240,0.63,0.74
31241,0.1,0.34
31242,0.08,0.07
31243,0.13,0.66
31244,0.3,0.55
31245,0.24,0.43
31246,0.07,0.43
31247,0.25,0.77
31248,0.5,0.79
31249,0.16,0.09
31250,0.34,0.6
31251,0.54,0.87
31252,0.4,0.19
31253,0.1,0.94
31254,0.1,0.35
31255,0.13,0.5
31256,0.06,0.38
31257,0.04,0.55
31258,0.03,0.12
31259,0.45,0.83
31260,0.05,0.12
31261,0.06,0.28
31262,0.57,0.9
31263,0.26,0.29
31264,0.06,0.26
31265,0.34,0.47
31266,0.03,0.11
31267,0.27,0.95
31268,0.6,0.91
31269,0.12,0.4
31270,0.17,0.53
31271,0.13,0.16
31272,0.52,0.77
31273,0.42,0.47
31274,0.09,0.56
31275,0.08,0.13
31276,0.07,0.92
31277,0.12,0.05
31278,0.13,0.33
31279,0.04,0.11
31280,0.13,0.71
31281,0.06,0.05
31282,0.38,0.55
31283,0.09,0.39
31284,0.09,0.16
31285,0.07,0.94
31286,0.33,0.56
31287,0.04,0.51
31288,0.05,0.16
31289,0.26,0.79
31290,0.11,0.13
31291,0.16,0.1
31292,0.04,0.91
31293,0.11,0.66
31294,0.7,0.9
31295,0.04,0.17
31296,0.45,0.64
31297,0.11,0.93
31298,0.05,0.91
31299,0.23,0.39
31300,0.25,0.77
31301,0.64,0.62
31302,0.08,0.54
31303,0.12,0.06
31304,0.06,0.31
31305,0.37,0.68
31306,0.44,0.65
31307,0.04,0.05
31308,0.47,0.39
31309,0.13,0.54
31310,0.33,0.6
31311,0.08,0.21
31312,0.5,0.78
31313,0.15,0.27
31314,0.27,0.56
31315,0.1,0.2
31316,0.07,0.15
31317,0.02,0.06
31318,0.12,0.47
31319,0.16,0.44
31320,0.04,0.79
31321,0.16,0.24
31322,0.55,0.92
31323,0.54,0.78
31324,0.1,0.3
31325,0.19,0.53
31326,0.7,0.84
31327,0.08,0.49
31328,0.85,0.95
31329,0.13,0.61
31330,0.02,0.01
31331,0.14,0.45
31332,0.63,0.91
31333,0.72,0.92
31334,0.33,0.31
31335,0.2,0.18
31336,0.15,0.47
31337,0.06,0.17
31338,0.08,0.16
31339,0.19,0.69
31340,0.16,0.33
31341,0.28,0.59
31342,0.13,0.33
31343,0.12,0.41
31344,0.42,0.5
31345,0.6,0.92
31346,0.17,0.57
31347,0.19,0.49
31348,0.51,0.56
31349,0.04,0.18
31350,0.19,0.73
31351,0.03,0.79
31352,0.04,0.17
31353,0.16,0.21
31354,0.07,0.74
31355,0.09,0.81
31356,0.04,0.26
31357,0.31,0.52
31358,0.04,0.15
31359,0.08,0.23
31360,0.12,0.19
31361,0.27,0.58
31362,0.02,0.21
31363,0.56,0.81
31364,0.18,0.43
31365,0.44,0.6
31366,0.16,0.22
31367,0.05,0.13
31368,0.23,0.4
31369,0.42,0.87
31370,0.04,0.12
31371,0.11,0.12
31372,0.78,0.75
31373,0.02,0.66
31374,0.16,0.4
31375,0.42,0.71
31376,0.17,0.81
31377,0.83,0.94
31378,0.09,0.3
31379,0.71,0.75
31380,0.4,0.45
31381,0.21,0.26
31382,0.02,0.53
31383,0.84,0.99
31384,0.58,0.91
31385,0.23,0.64
31386,0.25,0.55
31387,0.24,0.69
31388,0.59,0.41
31389,0.12,0.88
31390,0.19,0.68
31391,0.68,0.87
31392,0.28,0.77
31393,0.11,0.16
31394,0.31,0.47
31395,0.02,0.06
31396,0.68,0.66
31397,0.03,0.3
31398,0.19,0.29
31399,0.72,0.86
31400,0.8,0.88
31401,0.2,0.62
31402,0.22,0.82
31403,0.38,0.17
31404,0.05,0.09
31405,0.06,0.58
31406,0.03,0.61
31407,0.49,0.65
31408,0.12,0.16
31409,0.06,0.13
31410,0.09,0.14
31411,0.23,0.24
31412,0.12,0.56
31413,0.1,0.2
31414,0.04,0.18
31415,0.14,0.34
31416,0.22,0.49
31417,0.33,0.73
31418,0.08,0.18
31419,0.6,0.84
31420,0.01,0.04
31421,0.02,0.22
31422,0.12,0.18
31423,0.57,0.85
31424,0.14,0.43
31425,0.06,0.26
31426,0.22,0.77
31427,0.1,0.62
31428,0.29,0.79
31429,0.2,0.8
31430,0.17,0.62
31431,0.15,0.22
31432,0.04,0.16
31433,0.81,0.83
31434,0.42,0.48
31435,0.13,0.22
31436,0.34,0.67
31437,0.27,0.7
31438,0.2,0.35
31439,0.4,0.82
31440,0.28,0.72
31441,0.64,0.81
31442,0.66,0.82
31443,0.02,0.08
31444,0.04,0.14
31445,0.1,0.22
31446,0.43,0.88
31447,0.34,0.57
31448,0.85,0.96
31449,0.06,0.12
31450,0.37,0.93
31451,0.39,0.78
31452,0.27,0.21
31453,0.27,0.34
31454,0.65,0.89
31455,0.1,0.85
31456,0.06,0.39
31457,0.19,0.46
31458,0.47,0.53
31459,0.06,0.17
31460,0.05,0.11
31461,0.19,0.44
31462,0.2,0.93
31463,0.12,0.82
31464,0.09,0.54
31465,0.86,0.94
31466,0.06,0.22
31467,0.48,0.94
31468,0.22,0.47
31469,0.61,0.52
31470,0.08,0.77
31471,0.27,0.67
31472,0.21,0.74
31473,0.66,0.87
31474,0.31,0.8
31475,0.52,0.85
31476,0.07,0.11
31477,0.25,0.28
31478,0.1,0.16
31479,0.3,0.91
31480,0.05,0.1
31481,0.11,0.59
31482,0.36,0.8
31483,0.13,0.16
31484,0.02,0.09
31485,0.02,0.1
31486,0.19,0.66
31487,0.71,0.84
31488,0.09,0.25
31489,0.77,0.89
31490,0.69,0.87
31491,0.36,0.68
31492,0.39,0.28
31493,0.04,0.11
31494,0.04,0.08
31495,0.03,0.57
31496,0.17,0.72
31497,0.09,0.25
31498,0.13,0.37
31499,0.11,0.56
31500,0.77,0.97
31501,0.15,0.58
31502,0.07,0.31
31503,0.07,0.18
31504,0.28,0.56
31505,0.73,0.92
31506,0.1,0.24
31507,0.24,0.7
31508,0.23,0.43
31509,0.05,0.91
31510,0.35,0.74
31511,0.15,0.25
31512,0.28,0.38
31513,0.29,0.38
31514,0.52,0.69
31515,0.29,0.6
31516,0.09,0.16
31517,0.26,0.57
31518,0.12,0.84
31519,0.12,0.57
31520,0.08,0.74
31521,0.19,0.86
31522,0.59,0.94
31523,0.12,0.45
31524,0.01,0.08
31525,0.51,0.8
31526,0.43,0.84
31527,0.09,0.49
31528,0.15,0.27
31529,0.23,0.46
31530,0.04,0.17
31531,0.33,0.38
31532,0.01,0.12
31533,0.69,0.81
31534,0.27,0.28
31535,0.23,0.68
31536,0.09,0.84
31537,0.02,0.31
31538,0.09,0.23
31539,0.67,0.73
31540,0.18,0.43
31541,0.06,0.56
31542,0.27,0.33
31543,0.19,0.29
31544,0.6,0.71
31545,0.05,0.48
31546,0.05,0.14
31547,0.74,0.96
31548,0.25,0.4
31549,0.21,0.72
31550,0.04,0.14
31551,0.52,0.7
31552,0.06,0.98
31553,0.26,0.34
31554,0.04,0.09
31555,0.56,0.78
31556,0.33,0.5
31557,0.03,0.07
31558,0.26,0.44
31559,0.49,0.69
31560,0.52,0.75
31561,0.07,0.14
31562,0.08,0.09
31563,0.05,0.18
31564,0.05,0.58
31565,0.25,0.79
31566,0.18,0.3
31567,0.24,0.34
31568,0.11,0.86
31569,0.09,0.19
31570,0.4,0.71
31571,0.13,0.49
31572,0.1,0.3
31573,0.26,0.34
31574,0.4,0.81
31575,0.31,0.3
31576,0.14,0.61
31577,0.04,0.44
31578,0.18,0.74
31579,0.11,0.14
31580,0.4,0.75
31581,0.56,0.9
31582,0.15,0.2
31583,0.29,0.85
31584,0.17,0.38
31585,0.07,0.2
31586,0.04,0.1
31587,0.23,0.53
31588,0.22,0.39
31589,0.08,0.07
31590,0.42,0.12
31591,0.2,0.33
31592,0.15,0.23
31593,0.22,0.4
31594,0.05,0.45
31595,0.15,0.3
31596,0.61,0.73
31597,0.09,0.63
31598,0.38,0.72
31599,0.51,0.8
31600,0.12,0.55
31601,0.39,0.77
31602,0.0,0.03
31603,0.06,0.42
31604,0.15,0.44
31605,0.05,0.44
31606,0.04,0.37
31607,0.2,0.2
31608,0.33,0.55
31609,0.12,0.14
31610,0.04,0.25
31611,0.17,0.65
31612,0.21,0.45
31613,0.06,0.05
31614,0.02,0.03
31615,0.25,0.33
31616,0.08,0.36
31617,0.37,0.74
31618,0.15,0.26
31619,0.4,0.27
31620,0.02,0.09
31621,0.07,0.13
31622,0.6,0.86
31623,0.18,0.14
31624,0.01,0.06
31625,0.12,0.84
31626,0.22,0.69
31627,0.1,0.15
31628,0.27,0.79
31629,0.29,0.43
31630,0.15,0.83
31631,0.11,0.14
31632,0.39,0.48
31633,0.22,0.3
31634,0.05,0.57
31635,0.3,0.22
31636,0.47,0.65
31637,0.07,0.15
31638,0.33,0.76
31639,0.36,0.9
31640,0.12,0.37
31641,0.88,0.91
31642,0.57,0.96
31643,0.15,0.41
31644,0.16,0.59
31645,0.01,0.13
31646,0.16,0.62
31647,0.33,0.94
31648,0.37,0.47
31649,0.31,0.8
31650,0.36,0.37
31651,0.82,0.96
31652,0.68,0.8
31653,0.18,0.25
31654,0.04,0.08
31655,0.17,0.25
31656,0.14,0.48
31657,0.03,0.39
31658,0.13,0.4
31659,0.17,0.72
31660,0.8,0.97
31661,0.23,0.94
31662,0.13,0.16
31663,0.55,0.65
31664,0.53,0.86
31665,0.05,0.87
31666,0.14,0.68
31667,0.15,0.26
31668,0.06,0.25
31669,0.05,0.08
31670,0.29,0.7
31671,0.17,0.4
31672,0.05,0.11
31673,0.17,0.59
31674,0.17,0.55
31675,0.33,0.44
31676,0.03,0.28
31677,0.31,0.36
31678,0.8,0.94
31679,0.14,0.77
31680,0.1,0.9
31681,0.09,0.12
31682,0.06,0.75
31683,0.05,0.06
31684,0.04,0.2
31685,0.31,0.61
31686,0.29,0.22
31687,0.07,0.46
31688,0.03,0.11
31689,0.13,0.76
31690,0.08,0.4
31691,0.21,0.72
31692,0.03,0.42
31693,0.02,0.32
31694,0.25,0.78
31695,0.32,0.38
31696,0.11,0.33
31697,0.57,0.81
31698,0.12,0.08
31699,0.15,0.78
31700,0.35,0.6
31701,0.17,0.86
31702,0.08,0.74
31703,0.05,0.07
31704,0.6,0.73
31705,0.3,0.46
31706,0.22,0.72
31707,0.46,0.82
31708,0.24,0.52
31709,0.64,0.68
31710,0.42,0.83
31711,0.24,0.45
31712,0.11,0.65
31713,0.06,0.28
31714,0.17,0.51
31715,0.56,0.88
31716,0.09,0.26
31717,0.38,0.69
31718,0.13,0.2
31719,0.25,0.32
31720,0.28,0.75
31721,0.01,0.06
31722,0.3,0.78
31723,0.16,0.34
31724,0.5,0.51
31725,0.04,0.08
31726,0.03,0.23
31727,0.1,0.39
31728,0.17,0.71
31729,0.18,0.29
31730,0.44,0.84
31731,0.06,0.12
31732,0.29,0.51
31733,0.43,0.63
31734,0.05,0.5
31735,0.23,0.67
31736,0.09,0.37
31737,0.17,0.22
31738,0.31,0.61
31739,0.04,0.85
31740,0.25,0.51
31741,0.04,0.17
31742,0.42,0.87
31743,0.31,0.41
31744,0.32,0.63
31745,0.1,0.44
31746,0.04,0.19
31747,0.09,0.44
31748,0.11,0.13
31749,0.22,0.86
31750,0.2,0.32
31751,0.11,0.05
31752,0.0,0.11
31753,0.05,0.92
31754,0.46,0.91
31755,0.01,0.06
31756,0.53,0.87
31757,0.3,0.76
31758,0.72,0.77
31759,0.03,0.14
31760,0.19,0.19
31761,0.14,0.43
31762,0.11,0.16
31763,0.6,0.48
31764,0.26,0.31
31765,0.25,0.64
31766,0.22,0.33
31767,0.42,0.87
31768,0.03,0.07
31769,0.04,0.05
31770,0.22,0.6
31771,0.2,0.43
31772,0.28,0.82
31773,0.08,0.42
31774,0.07,0.44
31775,0.24,0.9
31776,0.63,0.92
31777,0.06,0.17
31778,0.07,0.18
31779,0.04,0.04
31780,0.15,0.59
31781,0.12,0.13
31782,0.21,0.44
31783,0.16,0.28
31784,0.03,0.15
31785,0.2,0.23
31786,0.16,0.11
31787,0.11,0.41
31788,0.29,0.46
31789,0.1,0.54
31790,0.24,0.26
31791,0.06,0.16
31792,0.23,0.6
31793,0.05,0.3
31794,0.18,0.73
31795,0.2,0.18
31796,0.26,0.4
31797,0.33,0.79
31798,0.46,0.75
31799,0.04,0.05
31800,0.26,0.39
31801,0.32,0.62
31802,0.75,0.94
31803,0.23,0.92
31804,0.01,0.08
31805,0.08,0.21
31806,0.21,0.18
31807,0.57,0.64
31808,0.07,0.83
31809,0.24,0.41
31810,0.09,0.17
31811,0.52,0.21
31812,0.15,0.92
31813,0.3,0.59
31814,0.38,0.33
31815,0.18,0.55
31816,0.2,0.74
31817,0.15,0.13
31818,0.44,0.61
31819,0.08,0.09
31820,0.16,0.16
31821,0.08,0.08
31822,0.35,0.48
31823,0.22,0.6
31824,0.22,0.88
31825,0.2,0.39
31826,0.11,0.44
31827,0.45,0.36
31828,0.09,0.36
31829,0.02,0.1
31830,0.3,0.47
31831,0.08,0.67
31832,0.21,0.59
31833,0.26,0.58
31834,0.13,0.52
31835,0.01,0.25
31836,0.03,0.08
31837,0.68,0.79
31838,0.27,0.55
31839,0.11,0.19
31840,0.13,0.19
31841,0.08,0.25
31842,0.08,0.24
31843,0.47,0.73
31844,0.27,0.87
31845,0.44,0.6
31846,0.49,0.88
31847,0.02,0.66
31848,0.06,0.21
31849,0.1,0.13
31850,0.02,0.16
31851,0.2,0.22
31852,0.12,0.24
31853,0.63,0.93
31854,0.69,0.95
31855,0.74,0.91
31856,0.08,0.18
31857,0.09,0.85
31858,0.16,0.47
31859,0.33,0.71
31860,0.28,0.56
31861,0.07,0.1
31862,0.03,0.07
31863,0.16,0.64
31864,0.17,0.52
31865,0.17,0.66
31866,0.11,0.29
31867,0.17,0.56
31868,0.07,0.27
31869,0.04,0.15
31870,0.04,0.1
31871,0.66,0.91
31872,0.12,0.3
31873,0.17,0.35
31874,0.19,0.21
31875,0.11,0.43
31876,0.08,0.24
31877,0.06,0.05
31878,0.09,0.91
31879,0.19,0.7
31880,0.07,0.14
31881,0.38,0.47
31882,0.04,0.24
31883,0.37,0.32
31884,0.01,0.1
31885,0.26,0.75
31886,0.08,0.18
31887,0.06,0.2
31888,0.1,0.3
31889,0.26,0.84
31890,0.28,0.26
31891,0.04,0.14
31892,0.29,0.77
31893,0.22,0.73
31894,0.47,0.72
31895,0.12,0.16
31896,0.23,0.67
31897,0.38,0.76
31898,0.09,0.2
31899,0.48,0.76
31900,0.33,0.25
31901,0.08,0.22
31902,0.06,0.2
31903,0.33,0.49
31904,0.06,0.14
31905,0.06,0.14
31906,0.1,0.2
31907,0.1,0.6
31908,0.04,0.06
31909,0.21,0.5
31910,0.03,0.7
31911,0.14,0.94
31912,0.29,0.55
31913,0.15,0.51
31914,0.24,0.85
31915,0.12,0.73
31916,0.09,0.72
31917,0.4,0.27
31918,0.22,0.95
31919,0.57,0.51
31920,0.03,0.92
31921,0.14,0.56
31922,0.02,0.06
31923,0.03,0.13
31924,0.16,0.41
31925,0.08,0.72
31926,0.09,0.1
31927,0.27,0.4
31928,0.26,0.88
31929,0.17,0.2
31930,0.16,0.36
31931,0.2,0.85
31932,0.04,0.1
31933,0.48,0.27
31934,0.1,0.28
31935,0.52,0.93
31936,0.17,0.26
31937,0.12,0.45
31938,0.4,0.67
31939,0.01,0.08
31940,0.09,0.1
31941,0.02,0.48
31942,0.02,0.08
31943,0.09,0.26
31944,0.16,0.71
31945,0.22,0.46
31946,0.18,0.3
31947,0.11,0.12
31948,0.11,0.89
31949,0.09,0.28
31950,0.04,0.18
31951,0.29,0.38
31952,0.06,0.24
31953,0.02,0.37
31954,0.41,0.79
31955,0.05,0.23
31956,0.13,0.24
31957,0.25,0.65
31958,0.06,0.06
31959,0.09,0.14
31960,0.14,0.41
31961,0.01,0.1
31962,0.44,0.54
31963,0.62,0.84
31964,0.08,0.1
31965,0.08,0.89
31966,0.09,0.23
31967,0.04,0.13
31968,0.43,0.31
31969,0.35,0.59
31970,0.36,0.39
31971,0.11,0.54
31972,0.19,0.32
31973,0.01,0.2
31974,0.01,0.15
31975,0.01,0.02
31976,0.16,0.26
31977,0.07,0.1
31978,0.24,0.53
31979,0.02,0.21
31980,0.17,0.67
31981,0.21,0.32
31982,0.05,0.08
31983,0.34,0.28
31984,0.04,0.04
31985,0.07,0.18
31986,0.42,0.92
31987,0.09,0.36
31988,0.39,0.8
31989,0.22,0.85
31990,0.05,0.94
31991,0.44,0.63
31992,0.14,0.14
31993,0.52,0.59
31994,0.1,0.28
31995,0.4,0.58
31996,0.15,0.26
31997,0.07,0.8
31998,0.02,0.25
31999,0.03,0.1
32000,0.33,0.78
32001,0.11,0.46
32002,0.41,0.65
32003,0.13,0.36
32004,0.44,0.82
32005,0.04,0.13
32006,0.18,0.56
32007,0.52,0.91
32008,0.03,0.1
32009,0.04,0.15
32010,0.23,0.42
32011,0.06,0.83
32012,0.17,0.74
32013,0.3,0.83
32014,0.19,0.35
32015,0.21,0.34
32016,0.42,0.59
32017,0.1,0.18
32018,0.1,0.1
32019,0.35,0.49
32020,0.51,0.71
32021,0.07,0.22
32022,0.31,0.46
32023,0.09,0.81
32024,0.33,0.24
32025,0.38,0.55
32026,0.5,0.63
32027,0.17,0.91
32028,0.65,0.67
32029,0.02,0.09
32030,0.26,0.4
32031,0.08,0.11
32032,0.38,0.39
32033,0.0,0.19
32034,0.26,0.61
32035,0.06,0.03
32036,0.14,0.79
32037,0.14,0.72
32038,0.29,0.75
32039,0.35,0.29
32040,0.3,0.86
32041,0.62,0.94
32042,0.09,0.58
32043,0.39,0.62
32044,0.03,0.17
32045,0.2,0.95
32046,0.16,0.4
32047,0.8,0.82
32048,0.13,0.52
32049,0.03,0.13
32050,0.45,0.6
32051,0.06,0.65
32052,0.5,0.63
32053,0.05,0.13
32054,0.16,0.24
32055,0.12,0.5
32056,0.06,0.3
32057,0.05,0.07
32058,0.04,0.12
32059,0.11,0.61
32060,0.09,0.68
32061,0.17,0.23
32062,0.12,0.11
32063,0.13,0.58
32064,0.13,0.23
32065,0.16,0.37
32066,0.05,0.3
32067,0.05,0.06
32068,0.03,0.19
32069,0.52,0.93
32070,0.61,0.86
32071,0.47,0.66
32072,0.68,0.86
32073,0.04,0.07
32074,0.03,0.41
32075,0.05,0.15
32076,0.02,0.81
32077,0.16,0.31
32078,0.02,0.08
32079,0.06,0.07
32080,0.04,0.13
32081,0.44,0.78
32082,0.03,0.04
32083,0.07,0.18
32084,0.11,0.45
32085,0.09,0.7
32086,0.62,0.75
32087,0.22,0.89
32088,0.03,0.65
32089,0.33,0.72
32090,0.09,0.62
32091,0.3,0.31
32092,0.5,0.62
32093,0.06,0.19
32094,0.11,0.43
32095,0.55,0.73
32096,0.14,0.86
32097,0.17,0.43
32098,0.09,0.14
32099,0.17,0.39
32100,0.07,0.27
32101,0.6,0.66
32102,0.03,0.31
32103,0.22,0.48
32104,0.03,0.28
32105,0.19,0.8
32106,0.25,0.47
32107,0.18,0.35
32108,0.19,0.17
32109,0.12,0.3
32110,0.03,0.27
32111,0.38,0.41
32112,0.57,0.64
32113,0.12,0.4
32114,0.46,0.42
32115,0.03,0.18
32116,0.02,0.07
32117,0.69,0.78
32118,0.06,0.56
32119,0.34,0.69
32120,0.37,0.76
32121,0.53,0.76
32122,0.16,0.62
32123,0.07,0.47
32124,0.1,0.95
32125,0.01,0.09
32126,0.61,0.87
32127,0.22,0.42
32128,0.25,0.58
32129,0.19,0.19
32130,0.38,0.61
32131,0.92,0.96
32132,0.05,0.85
32133,0.02,0.03
32134,0.15,0.89
32135,0.17,0.44
32136,0.06,0.27
32137,0.31,0.81
32138,0.24,0.65
32139,0.07,0.25
32140,0.39,0.2
32141,0.07,0.27
32142,0.09,0.82
32143,0.09,0.38
32144,0.25,0.3
32145,0.1,0.32
32146,0.12,0.12
32147,0.05,0.21
32148,0.45,0.86
32149,0.08,0.44
32150,0.08,0.83
32151,0.04,0.12
32152,0.07,0.58
32153,0.19,0.54
32154,0.04,0.11
32155,0.09,0.45
32156,0.03,0.16
32157,0.05,0.08
32158,0.1,0.66
32159,0.74,0.85
32160,0.25,0.24
32161,0.33,0.16
32162,0.07,0.35
32163,0.05,0.25
32164,0.15,0.19
32165,0.35,0.59
32166,0.1,0.29
32167,0.05,0.41
32168,0.1,0.21
32169,0.12,0.35
32170,0.59,0.68
32171,0.08,0.56
32172,0.66,0.9
32173,0.1,0.38
32174,0.17,0.3
32175,0.28,0.93
32176,0.75,0.92
32177,0.2,0.4
32178,0.03,0.2
32179,0.05,0.62
32180,0.08,0.5
32181,0.23,0.29
32182,0.07,0.23
32183,0.39,0.89
32184,0.16,0.24
32185,0.32,0.44
32186,0.14,0.57
32187,0.24,0.65
32188,0.28,0.37
32189,0.34,0.81
32190,0.2,0.64
32191,0.14,0.28
32192,0.1,0.45
32193,0.11,0.32
32194,0.02,0.06
32195,0.16,0.37
32196,0.52,0.8
32197,0.04,0.08
32198,0.52,0.67
32199,0.4,0.85
32200,0.15,0.33
32201,0.14,0.22
32202,0.11,0.88
32203,0.21,0.88
32204,0.19,0.74
32205,0.21,0.91
32206,0.12,0.85
32207,0.53,0.8
32208,0.03,0.21
32209,0.04,0.37
32210,0.26,0.67
32211,0.03,0.15
32212,0.02,0.4
32213,0.1,0.12
32214,0.1,0.09
32215,0.42,0.4
32216,0.71,0.83
32217,0.14,0.3
32218,0.23,0.63
32219,0.06,0.12
32220,0.64,0.79
32221,0.51,0.68
32222,0.03,0.12
32223,0.5,0.8
32224,0.5,0.72
32225,0.22,0.45
32226,0.33,0.8
32227,0.15,0.36
32228,0.63,0.81
32229,0.1,0.42
32230,0.07,0.15
32231,0.33,0.59
32232,0.27,0.49
32233,0.14,0.61
32234,0.07,0.61
32235,0.29,0.83
32236,0.19,0.96
32237,0.79,0.92
32238,0.07,0.09
32239,0.02,0.09
32240,0.09,0.24
32241,0.53,0.68
32242,0.08,0.4
32243,0.06,0.17
32244,0.05,0.14
32245,0.26,0.71
32246,0.32,0.68
32247,0.07,0.65
32248,0.39,0.56
32249,0.12,0.27
32250,0.21,0.42
32251,0.17,0.38
32252,0.33,0.54
32253,0.16,0.24
32254,0.06,0.19
32255,0.23,0.5
32256,0.31,0.39
32257,0.11,0.55
32258,0.03,0.17
32259,0.09,0.66
32260,0.03,0.45
32261,0.13,0.29
32262,0.22,0.16
32263,0.16,0.51
32264,0.17,0.28
32265,0.34,0.73
32266,0.14,0.38
32267,0.09,0.32
32268,0.11,0.18
32269,0.39,0.62
32270,0.6,0.71
32271,0.54,0.8
32272,0.13,0.37
32273,0.18,0.46
32274,0.3,0.68
32275,0.03,0.65
32276,0.28,0.21
32277,0.14,0.23
32278,0.08,0.5
32279,0.06,0.18
32280,0.24,0.09
32281,0.7,0.9
32282,0.12,0.15
32283,0.21,0.7
32284,0.57,0.82
32285,0.11,0.33
32286,0.22,0.59
32287,0.1,0.43
32288,0.23,0.72
32289,0.26,0.84
32290,0.05,0.17
32291,0.17,0.34
32292,0.19,0.31
32293,0.55,0.85
32294,0.41,0.58
32295,0.08,0.37
32296,0.09,0.55
32297,0.49,0.92
32298,0.02,0.04
32299,0.13,0.51
32300,0.0,0.12
32301,0.14,0.39
32302,0.1,0.2
32303,0.33,0.4
32304,0.06,0.38
32305,0.21,0.38
32306,0.5,0.7
32307,0.13,0.26
32308,0.37,0.91
32309,0.22,0.59
32310,0.44,0.63
32311,0.09,0.3
32312,0.33,0.42
32313,0.13,0.25
32314,0.19,0.51
32315,0.04,0.22
32316,0.08,0.88
32317,0.09,0.33
32318,0.04,0.47
32319,0.3,0.93
32320,0.02,0.02
32321,0.19,0.47
32322,0.15,0.43
32323,0.58,0.76
32324,0.17,0.74
32325,0.24,0.3
32326,0.24,0.29
32327,0.03,0.17
32328,0.07,0.11
32329,0.11,0.64
32330,0.28,0.69
32331,0.29,0.73
32332,0.05,0.14
32333,0.03,0.09
32334,0.11,0.4
32335,0.03,0.17
32336,0.04,0.22
32337,0.16,0.19
32338,0.24,0.38
32339,0.28,0.59
32340,0.51,0.71
32341,0.42,0.54
32342,0.09,0.51
32343,0.59,0.95
32344,0.54,0.9
32345,0.04,0.24
32346,0.08,0.07
32347,0.2,0.58
32348,0.18,0.91
32349,0.26,0.66
32350,0.16,0.73
32351,0.59,0.7
32352,0.02,0.05
32353,0.09,0.17
32354,0.3,0.41
32355,0.14,0.59
32356,0.18,0.48
32357,0.35,0.58
32358,0.26,0.89
32359,0.51,0.66
32360,0.27,0.72
32361,0.11,0.64
32362,0.06,0.3
32363,0.06,0.89
32364,0.02,0.06
32365,0.02,0.16
32366,0.17,0.46
32367,0.31,0.83
32368,0.1,0.65
32369,0.3,0.7
32370,0.08,0.36
32371,0.22,0.34
32372,0.03,0.02
32373,0.1,0.32
32374,0.47,0.84
32375,0.24,0.64
32376,0.04,0.14
32377,0.11,0.52
32378,0.08,0.53
32379,0.21,0.33
32380,0.14,0.53
32381,0.02,0.4
32382,0.21,0.2
32383,0.27,0.75
32384,0.08,0.19
32385,0.08,0.14
32386,0.15,0.61
32387,0.35,0.4
32388,0.11,0.22
32389,0.07,0.14
32390,0.06,0.52
32391,0.37,0.72
32392,0.18,0.59
32393,0.58,0.64
32394,0.01,0.14
32395,0.56,0.85
32396,0.02,0.15
32397,0.08,0.4
32398,0.24,0.5
32399,0.52,0.72
32400,0.55,0.63
32401,0.18,0.7
32402,0.04,0.29
32403,0.09,0.77
32404,0.03,0.13
32405,0.09,0.88
32406,0.22,0.44
